epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,662.154,0.56124,0.2311,0.86204,0.99884,1,0.995,0.89666,0.54107,0.17888,0.88247,0.00147728,0.00147728,0.00147728
134,666.967,0.55309,0.227,0.84614,0.99874,1,0.995,0.90811,0.51233,0.18254,0.87952,0.00147332,0.00147332,0.00147332
135,671.951,0.54439,0.22274,0.83567,0.99875,1,0.995,0.91398,0.53509,0.18487,0.88141,0.00146936,0.00146936,0.00146936
136,676.823,0.52906,0.21779,0.83654,0.99874,1,0.995,0.90959,0.51555,0.18327,0.88044,0.0014654,0.0014654,0.0014654
137,681.933,0.54931,0.22647,0.83997,0.99883,1,0.995,0.91738,0.51595,0.19948,0.88834,0.00146144,0.00146144,0.00146144
138,686.74,0.53765,0.2243,0.84488,0.99878,1,0.995,0.90039,0.56769,0.19698,0.89696,0.00145748,0.00145748,0.00145748
139,691.831,0.52019,0.21931,0.83815,0.99876,1,0.995,0.89473,0.5762,0.17722,0.89841,0.00145352,0.00145352,0.00145352
140,696.946,0.54824,0.22166,0.83383,0.99845,1,0.995,0.89326,0.57741,0.19205,0.90202,0.00144956,0.00144956,0.00144956
141,702.001,0.50725,0.2061,0.82495,0.99886,1,0.995,0.89946,0.5689,0.18477,0.89643,0.0014456,0.0014456,0.0014456
142,706.878,0.53068,0.21492,0.84262,0.99885,1,0.995,0.8955,0.58648,0.19482,0.89249,0.00144164,0.00144164,0.00144164
143,711.491,0.53511,0.21642,0.83919,0.99869,1,0.995,0.91976,0.51412,0.17802,0.87703,0.00143768,0.00143768,0.00143768
144,716.405,0.54626,0.22851,0.82462,0.99878,1,0.995,0.91498,0.48626,0.19472,0.87636,0.00143372,0.00143372,0.00143372
145,721.068,0.5288,0.22112,0.83356,0.99883,1,0.995,0.91571,0.50823,0.1703,0.87496,0.00142976,0.00142976,0.00142976
146,725.876,0.55709,0.23376,0.85117,0.99839,1,0.995,0.92627,0.5519,0.20264,0.88473,0.0014258,0.0014258,0.0014258
147,730.66,0.53302,0.22067,0.84449,0.99889,1,0.995,0.92019,0.45388,0.17095,0.86785,0.00142184,0.00142184,0.00142184
148,735.636,0.53789,0.21589,0.83613,0.9988,1,0.995,0.92349,0.50825,0.19593,0.87642,0.00141788,0.00141788,0.00141788
149,740.428,0.53839,0.21888,0.85916,0.99878,1,0.995,0.93615,0.49438,0.18322,0.87074,0.00141392,0.00141392,0.00141392
150,745.29,0.52883,0.2172,0.83531,0.99891,1,0.995,0.92421,0.55977,0.19193,0.88866,0.00140996,0.00140996,0.00140996
151,750.123,0.54533,0.22018,0.84802,0.99883,1,0.995,0.9258,0.51631,0.17515,0.8826,0.001406,0.001406,0.001406
152,754.91,0.54771,0.22737,0.84632,0.99883,1,0.995,0.93589,0.53157,0.17532,0.8826,0.00140204,0.00140204,0.00140204
153,760.091,0.5342,0.21762,0.82873,0.99887,1,0.995,0.91129,0.5554,0.18015,0.88716,0.00139808,0.00139808,0.00139808
